序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202209) ,净利润(202209),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
4813,688362,甬矽电子,甬矽电子(宁波)股份有限公司,--,--,17.15亿,2.06亿,3079,2022-11-16,--,,--,高端封装产品、中端封装产品,集成电路封装和测试方案开发、不同种类集成电路芯片的封装加工和成品测试服务，以及与集成电路封装和测试相关的配套服务。
4814,688363,华熙生物,华熙生物科技股份有限公司,山东,济南市,43.20亿,6.67亿,4278,2019-11-06,--,,--,原料产品、医疗终端产品、功能性护肤品,研发、生产和销售透明质酸等生物活性物质原料产品及生物医用材料终端产品。
4815,688365,光云科技,杭州光云科技股份有限公司,浙江,杭州市,3.70亿,-1.23亿,2299,2020-04-29,--,,--,SaaS产品、配套硬件、CRM短信、运营服务,向电商商家提供店铺运营管理过程中需要的SaaS产品、配套硬件、运营服务、CRM短信等各类软件及服务。
4816,688366,昊海生科,上海昊海生物科技股份有限公司,上海,上海市,15.83亿,1.66亿,1990,2019-10-30,--,,--,眼科产品、医疗美容与创面护理产品、防粘连及止血产品、骨科产品,医疗器械和药品研发、生产和销售。
4817,688367,工大高科,合肥工大高科信息科技股份有限公司,安徽,合肥市,1.37亿,2401.46万,213,2021-06-28,--,,--,工业铁路信号控制与智能调度产品、信息系统集成及技术服务,工业铁路信号控制与智能调度产品研发、生产、销售及技术服务。
4818,688368,晶丰明源,上海晶丰明源半导体股份有限公司,上海,上海市,8.07亿,-2.01亿,492,2019-10-14,,,--,LED照明驱动芯片、电机驱动芯片、AC/DC电源芯片、晶圆产品,模拟半导体电源管理类芯片的设计、研发与销售。
4819,688369,致远互联,北京致远互联软件股份有限公司,北京,北京市,6.44亿,2916.60万,2494,2019-10-31,--,,--,协同管理软件、技术服务,"为客户提供协同管理软件产品、解决方案、协同管理平台及云服务,集协同管理产品的设计、研发、销售及服务为一体。"
4820,688370,丛麟科技,上海丛麟环保科技股份有限公司,--,--,5.31亿,1.29亿,813,2022-08-25,,,--,无害化处置、资源化利用,危险废物的资源化利用和无害化处置，致力于危废处理的资源循环利用。
4821,688371,菲沃泰,江苏菲沃泰纳米科技股份有限公司,--,--,2.91亿,1818.04万,716,2022-08-02,,,--,纳米薄膜,"高性能,多功能纳米薄膜的研发和制备，并基于自主研发的纳米镀膜设备,材料配方及制备工艺技术为客户提供基于纳米薄膜的定制化解决方案。"
4822,688372,伟测科技,上海伟测半导体科技股份有限公司,--,--,5.43亿,1.66亿,927,2022-10-26,,,--,集成电路测试、其他服务,晶圆测试、芯片成品测试以及与集成电路测试相关的配套服务。
4823,688373,盟科药业,上海盟科药业股份有限公司,--,--,3485.63万,-1.74亿,179,2022-08-05,,,--,康替唑胺片、MRX-4、MRX-8、MRX-5、MRX-7、MRX-15、MRX-17、MRX-18,发现、开发和商业化针对未满足临床需求的创新药物。
4824,688375,国博电子,南京国博电子股份有限公司,--,--,26.61亿,4.02亿,1215,2022-07-22,,,--,T/R组件、射频、射频芯片,从事有源相控阵T/R组件和射频集成电路相关产品的研发、生产和销售。
4825,688376,美埃科技,美埃(中国)环境科技股份有限公司,--,--,8.38亿,8554.27万,800,2022-11-18,--,,--,风机过滤单元、过滤器、空气净化设备、工业除尘除油雾设备、VOCs治理设备,空气净化产品、大气环境治理产品的研发、生产及销售。
4826,688377,迪威尔,南京迪威尔高端制造股份有限公司,江苏,南京市,6.98亿,9851.62万,731,2020-07-08,,,--,井口装置及采油树专用件、深海设备专用件、压裂设备专用件、钻采设备专用件,研发、生产和销售油气设备专用件。
4827,688378,奥来德,吉林奥来德光电材料股份有限公司,吉林,长春市,3.93亿,1.11亿,280,2020-09-03,--,,--,有机发光材料、蒸发源设备,从事OLED产业链上游环节中的有机发光材料与蒸发源设备的研发、制造、销售及售后技术服务。
4828,688379,华光新材,杭州华光焊接新材料股份有限公司,浙江,杭州市,8.80亿,-1301.23万,557,2020-08-19,,,--,铜基钎料、银钎料、银浆,钎焊材料的研发、生产和销售。
4829,688380,中微半导,中微半导体(深圳)股份有限公司,--,--,5.08亿,7025.85万,495,2022-08-05,--,,--,家电控制芯片、消费电子芯片、电机与电池芯片、传感器信号处理芯片,数模混合信号芯片、模拟芯片的研发、设计与销售。
4830,688381,帝奥微,江苏帝奥微电子股份有限公司,--,--,4.02亿,1.61亿,150,2022-08-23,,,--,信号链模拟芯片、电源管理模拟芯片,从事高性能模拟芯片的研发、设计和销售。
4831,688382,益方生物,益方生物科技(上海)股份有限公司,--,--,0.0000,-3.85亿,155,2022-07-25,--,,--,创新型药物,创新药物的研发、生产和销售。
4832,688383,新益昌,深圳新益昌科技股份有限公司,广东,深圳市,10.06亿,2.07亿,1267,2021-04-28,--,,--,LED封装设备、半导体封装设备、电容器老化测试设备、锂电池设备,LED、电容器、半导体、锂电池等行业智能制造装备的研发、生产和销售。
4833,688385,复旦微电,上海复旦微电子集团股份有限公司,上海,上海市,27.04亿,8.87亿,1691,2021-08-04,--,,--,安全与识别芯片、非挥发存储器、智能电表芯片、FPGA芯片、集成电路测试服务,超大规模集成电路的设计、开发、测试，并为客户提供系统解决方案。
4834,688386,泛亚微透,江苏泛亚微透科技股份有限公司,江苏,常州市,2.46亿,4243.19万,342,2020-10-16,--,,--,塑料高分子聚合物产品,膨体聚四氟乙烯膜（ePTFE）、SiO2气凝胶等微观多孔材料及其改性衍生产品的研发、生产及销售。
4835,688387,信科移动,中信科移动通信技术股份有限公司,--,--,43.53亿,-2.97亿,4916,2022-09-26,,,--,移动通信网络设备、移动通信技术服务,"为客户提供包含硬件,软件,组网和优化服务在内的移动通信网络部署综合解决方案，包括移动通信网络设备以及移动通信技术服务。"
4836,688388,嘉元科技,广东嘉元科技股份有限公司,广东,梅州市,32.81亿,4.37亿,1389,2019-07-22,--,,--,锂电铜箔、标准铜箔,主要从事锂离子电池用4.5～12μm各类高性能电解铜箔及PCB用电解铜箔的研究、生产和销售。
4837,688389,普门科技,深圳普门科技股份有限公司,广东,深圳市,6.73亿,1.53亿,1405,2019-11-05,--,,--,治疗与康复产品、体外诊断设备、配套试剂,医疗器械的研发、制造、营销及服务。
4838,688390,固德威,固德威技术股份有限公司,江苏,苏州市,29.16亿,2.66亿,2223,2020-09-04,--,,--,光伏并网逆变器、光伏储能逆变器,太阳能、储能等新能源电力电源设备的研发、生产和销售。
4839,688391,钜泉科技,钜泉光电科技(上海)股份有限公司,--,--,5.12亿,1.48亿,189,2022-09-13,,,--,电能计量芯片、载波通信芯片、智能电表MCU芯片,智能电网终端设备芯片的研发、设计和销售。
4840,688392,骄成超声,上海骄成超声波技术股份有限公司,--,--,3.88亿,8465.29万,450,2022-09-27,,,--,动力电池超声波焊接设备、汽车轮胎超声波裁切设备、其他领域超声波焊接设备、动力电池制造自动化系统、检测类设备,超声波焊接、裁切设备的研发、设计、生产与销售。
4841,688393,安必平,广州安必平医药科技股份有限公司,广东,广州市,3.74亿,3403.02万,697,2020-08-20,,,--,肿瘤筛查、肿瘤诊断、数字病理、病理共建,从事体外诊断试剂和仪器的研发、生产和销售。
4842,688395,正弦电气,深圳市正弦电气股份有限公司,广东,深圳市,2.68亿,4237.53万,470,2021-04-29,--,,--,通用变频器、一体化专机、伺服系统、新能源汽车驱动器,工业自动化领域电机驱动和控制系统产品研发、生产和销售。
4843,688396,华润微,华润微电子有限公司,--,--,76.32亿,20.38亿,10994,2020-02-27,--,,--,集成电路,功率半导体、智能传感器及智能控制产品的设计、生产及销售，以及提供开放式晶圆制造、封装测试等制造服务。
4844,688398,赛特新材,福建赛特新材股份有限公司,福建,龙岩市,4.60亿,4055.99万,1102,2020-02-11,,,--,真空绝热板、保温箱、阻隔膜,从事真空绝热材料制造技术开发及其应用研究。
4845,688399,硕世生物,江苏硕世生物科技股份有限公司,江苏,泰州市,42.93亿,16.24亿,765,2019-12-05,--,,--,诊断试剂、诊断仪器、检测服务、其他,专注于体外诊断试剂、配套检测仪器等体外诊断产品的研发、生产和销售。
4846,688400,凌云光,凌云光技术股份有限公司,--,--,20.28亿,1.58亿,1627,2022-07-06,,,--,机器视觉产品、光通信产品、服务,机器视觉及光通信业务。
4847,688401,路维光电,深圳市路维光电股份有限公司,--,--,4.91亿,7621.63万,297,2022-08-17,,,--,石英掩膜版、苏打掩膜版、平板显示掩膜版、半导体掩膜版、触控掩膜版、电路板掩膜版,掩膜版的研发、生产和销售。
4848,688403,汇成股份,合肥新汇成微电子股份有限公司,--,--,6.98亿,1.42亿,1085,2022-08-18,,,--,金凸块制造（Gold Bumping）、晶圆测试（CP）、玻璃覆晶封装（COG）、薄膜覆晶封装（COF）,显示驱动芯片的先进封装测试服务
4849,688408,中信博,江苏中信博新能源科技股份有限公司,江苏,苏州市,22.59亿,-1139.09万,1177,2020-08-28,,,--,固定支架、跟踪支架、BIPV,光伏跟踪支架、固定支架及BIPV系统制造商和解决方案提供商。
4850,688409,富创精密,沈阳富创精密设备股份有限公司,--,--,10.13亿,1.54亿,1088,2022-10-10,,,--,精密零部件,半导体设备的精密零部件制造。
