序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202209) ,净利润(202209),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
585,002057,中钢天源,中钢天源股份有限公司,安徽,马鞍山市,20.81亿,3.09亿,1517,2006-08-02,--,,磁性材料,工业原料、电子元器件、冶金、矿山、机电工程专用设备、金属制品、金属制品检测,检验检测服务业务和磁性材料的研发、生产及销售。
586,002058,威尔泰,上海威尔泰工业自动化股份有限公司,上海,上海市,9735.81万,-621.94万,340,2006-08-02,--,,电气仪表,仪器、仪表,自动化仪器仪表的研发、生产和销售。
587,002059,云南旅游,云南旅游股份有限公司,云南,昆明市,4.73亿,-7762.31万,2540,2006-08-10,--,,景区,旅游文化科技、文旅综合体运营、旅游综合服务,旅游文化科技、文旅综合体运营、旅游综合服务。
588,002060,粤水电,广东水电二局股份有限公司,广东,广州市,94.00亿,2.68亿,4234,2006-08-10,--,,水利建设,工程施工、产品销售、发电、勘测设计与咨询服务,水利水电及轨道交通等工程建设，水力、风力、太阳能光伏清洁能源发电业务以及风电塔筒装备制造业务。
589,002061,浙江交科,浙江交通科技股份有限公司,浙江,杭州市,321.73亿,10.46亿,7815,2006-08-16,--,,聚氨酯,基建工程,基建工程业务。
590,002062,宏润建设,宏润建设集团股份有限公司,浙江,宁波市,54.33亿,2.26亿,1613,2006-08-16,--,,铁路城轨建设,建筑施工及市政基础设施投资业务、房地产业务、新能源开发业务,市政公用工程、房屋建筑工程、城市轨道交通工程施工、新能源开发业务和房地产开发。
591,002063,远光软件,远光软件股份有限公司,广东,珠海市,13.44亿,1.48亿,4470,2006-08-23,--,,行业应用软件,集团管理业务,提供电力行业财务和管理信息化全面解决方案
592,002064,华峰化学,华峰化学股份有限公司,浙江,温州市,199.41亿,24.14亿,7395,2006-08-23,--,,氨纶,化学纤维、化工新材料、基础化工产品,氨纶纤维、聚氨酯原液、己二酸等聚氨酯制品材料的研发、生产与销售。
593,002065,东华软件,东华软件股份公司,北京,北京市,73.20亿,4.69亿,11766,2006-08-23,--,,行业应用软件,应用软件开发、计算机信息系统集成、信息技术服务,行业应用软件开发、计算机信息系统集成及相关服务业务。
594,002066,瑞泰科技,瑞泰科技股份有限公司,北京,北京市,36.13亿,1.13亿,2938,2006-08-23,--,,耐火材料,玻璃板块、水泥板块、钢铁业务板块,定形和不定形耐火材料以及各类耐磨材料的研发、生产、销售以及综合服务。
595,002067,景兴纸业,浙江景兴纸业股份有限公司,浙江,嘉兴市,46.00亿,1.24亿,2025,2006-09-15,--,,造纸,原纸、纸箱及纸板、生活用纸,工业包装原纸、纸箱纸板和各类生活用纸的生产和销售。
596,002068,黑猫股份,江西黑猫炭黑股份有限公司,江西,景德镇市,73.04亿,3932.62万,4134,2006-09-15,--,,其他化学制品,炭黑、焦油精制产品、白炭黑,炭黑、焦油精制和白炭黑等产品的生产与销售。
597,002069,ST獐子岛,獐子岛集团股份有限公司,辽宁,大连市,15.17亿,3333.17万,1973,2006-09-28,--,,海洋渔业,水产养殖、水产加工、水产贸易、冷链物流、旅游服务,从事海珍品种业、海水增养殖业、海洋食品研发与加工、冷链物流、渔业装备等产业。
598,002071,长城退,长城影视股份有限公司,江苏,苏州市,--,--,419,2006-10-12,--,,影视,影视行业、广告业、实景娱乐,影视剧的投资、制作、发行，广告营销及实景娱乐
599,002072,凯瑞德,凯瑞德控股股份有限公司,湖北,荆门市,2.64亿,-748.05万,31,2006-10-18,--,,其他互联网服务,煤炭贸易、租赁服务,煤炭贸易业务
600,002073,软控股份,软控股份有限公司,山东,青岛市,40.10亿,1.32亿,3296,2006-10-18,--,,其他专用机械,橡胶装备系统、合成橡胶材料,橡胶行业应用软件、信息化装备的研发与创新。
601,002074,国轩高科,国轩高科股份有限公司,安徽,合肥市,144.26亿,1.90亿,11410,2006-10-18,--,,电池,动力锂电池、输变电业务,动力锂电池和输配电设备两大业务板块。
602,002075,沙钢股份,江苏沙钢股份有限公司,江苏,苏州市,139.14亿,7.28亿,4229,2006-10-25,--,,普钢,弹簧钢、管坯钢、优质钢、海洋用钢、耐磨钢、汽车及工程机械用钢、钢坯、其他钢材,黑色金属冶炼及压延加工优特钢的生产与销售。
603,002076,*ST雪莱,广东雪莱特光电科技股份有限公司,广东,佛山市,9478.76万,-7422.11万,350,2006-10-25,--,,LED,紫外线杀菌灯、LED照明、汽车照明、锂电池生产设备,紫外线杀菌灯、LED照明、汽车照明、锂电池生产设备。
604,002077,大港股份,江苏大港股份有限公司,江苏,镇江市,4.03亿,5144.09万,880,2006-11-16,--,,园区开发,房地产及园区开发、集成电路封装与测试、商贸物流及其他,集成电路、园区服务及房地产尾盘业务。
605,002078,太阳纸业,山东太阳纸业股份有限公司,山东,济宁市,296.40亿,22.72亿,13300,2006-11-16,--,,造纸,浆及纸制品、电及蒸汽,机制纸、纸制品、木浆、纸板的生产和销售。
606,002079,苏州固锝,苏州固锝电子股份有限公司,江苏,苏州市,24.28亿,2.01亿,1742,2006-11-16,--,,半导体分立器件,半导体整流器件二极管、导电银浆,分立器件和集成电路封测。
607,002080,中材科技,中材科技股份有限公司,江苏,南京市,147.01亿,25.59亿,20727,2006-11-20,--,,玻纤,特种纤维复合材料,风电叶片、玻璃纤维及制品、锂电池隔膜的研发、制造及销售。
608,002081,金螳螂,苏州金螳螂建筑装饰股份有限公司,江苏,苏州市,175.03亿,12.18亿,14493,2006-11-20,--,,装修装饰,建筑装饰,是一家以室内装饰为主体，融幕墙、景观、软装、家具、机电设备安装等为一体的综合性专业化装饰集团。
609,002082,万邦德,万邦德医药控股集团股份有限公司,浙江,台州市,11.84亿,1.40亿,1454,2006-11-20,--,,铝,医药制造、专用设备制造及服务、有色金属加工、有色金属贸易、其他,现代中药、化学原料药及化学制剂的研发、生产和销售。
610,002083,孚日股份,孚日集团股份有限公司,山东,潍坊市,39.85亿,2.26亿,13144,2006-11-24,--,,棉纺,毛巾系列产品、装饰布系列产品,毛巾系列产品、床上用品和装饰布艺产品的研发设计、生产供应、营销渠道建设和品牌推广。
611,002084,海鸥住工,广州海鸥住宅工业股份有限公司,广东,广州市,25.67亿,8332.51万,6020,2006-11-24,--,,卫浴,五金龙头类产品、智能家居类产品、浴缸陶瓷类产品、整装卫浴、定制橱柜、瓷砖,"装配式整装卫浴空间内高档卫生洁具,陶瓷,浴缸,淋浴房,浴室柜,整体橱柜,瓷砖等全品类部品部件的研发,制造和服务，在智能家居领域主要进行智能门户,安防工程的持续布局。"
612,002085,万丰奥威,浙江万丰奥威汽轮股份有限公司,浙江,绍兴市,116.76亿,7.30亿,11360,2006-11-28,--,,汽车零部件,汽车铝合金轮毂、摩托车铝合金轮毂、镁合金压铸产品、涂层加工、金属铸件、冲压零部件,铝合金轮毂、环保达克罗涂覆、轻量化镁合金、模具冲压件业务以及通用飞机制造业务。
613,002086,ST东洋,山东东方海洋科技股份有限公司,山东,烟台市,4.73亿,-1489.91万,968,2006-11-28,--,,海洋渔业,进料加工、来料加工、海参、检测费及试剂盒、国内贸易,海水苗种繁育、养殖，水产品加工，生物科技，保税仓储物流以及体外诊断试剂的研发、生产与销售和检测服务。
614,002087,新野纺织,河南新野纺织股份有限公司,河南,南阳市,26.60亿,-1.15亿,8525,2006-11-30,--,,棉纺,纺织,从事中高档棉纺织品的生产与销售。
615,002088,鲁阳节能,山东鲁阳节能材料股份有限公司,山东,淄博市,24.54亿,4.65亿,2726,2006-11-30,--,,耐火材料,陶瓷纤维制品、玄武岩产品,陶瓷纤维、可溶纤维、氧化铝纤维、轻质莫来石砖等耐火保温产品的研发、生产、销售、施工业务，玄武岩纤维产品的研发、生产、销售业务。
616,002089,*ST新海,新海宜科技集团股份有限公司,江苏,苏州市,1.44亿,792.97万,152,2006-11-30,--,,通信传输设备,通信制造业、计算机技术开发、LED,通信产品的研发、生产与销售业务，IDC业务，锂电材料产品的研发、生产与销售业务。
617,002090,金智科技,江苏金智科技股份有限公司,江苏,南京市,9.69亿,1509.99万,1302,2006-12-08,--,,电气自控设备,装置、系统,电力自动化业务、IT业务、电力工程设计与服务业务及新能源投资运营业务。
618,002091,江苏国泰,江苏国泰国际集团股份有限公司,江苏,苏州市,335.66亿,20.50亿,16082,2006-12-08,--,,贸易,纺织服装、玩具、化工产品,供应链服务和化工新能源业务。
619,002092,中泰化学,新疆中泰化学股份有限公司,新疆,乌鲁木齐市,411.32亿,15.37亿,20678,2006-12-08,--,,氯碱,氯碱化工、纺织工业、现代贸易、物流运输,聚氯乙烯树脂、离子膜烧碱的生产和销售;粘胶纤维、纱线的生产和销售。
620,002093,国脉科技,国脉科技股份有限公司,福建,福州市,2.93亿,4693.01万,993,2006-12-15,--,,通信配套服务,物联网和相关服务、教育,物联网技术服务、物联网咨询与设计服务、物联网科学园运营与开发服务、教育服务。
621,002094,青岛金王,青岛金王应用化学股份有限公司,山东,青岛市,24.33亿,1295.15万,2628,2006-12-15,--,,化妆品,化妆品、蜡烛产品、工艺品、大宗商品贸易,新材料蜡烛及工艺制品业务、化妆品业务和供应链业务。
622,002095,生意宝,浙江网盛生意宝股份有限公司,浙江,杭州市,3.74亿,2211.51万,560,2006-12-15,--,,电子商务B2B,网络基础服务、网络信息推广服务、广告发布服、化工贸易服务、展会服务、房租收入、化工贸易,"从事互联网信息服务,电子商务,专业搜索引擎和企业应用软件开发。"
623,002096,南岭民爆,湖南南岭民用爆破器材股份有限公司,湖南,长沙市,16.19亿,4157.98万,5187,2006-12-22,--,,民爆用品,电子雷管、工业炸药、导爆管雷管、工业电雷管、塑料导爆管、工业导爆索,民爆器材、军品的生产、研发与销售，工程爆破服务等业务。
624,002097,山河智能,山河智能装备股份有限公司,湖南,长沙市,54.08亿,-1.06亿,5989,2006-12-22,--,,工程机械,工程机械、航空装备与服务、特种装备,锚定工程机械、航空装备与服务、特种装备三大业务领域，为全球客户提供整体解决方案。
625,002098,浔兴股份,福建浔兴拉链科技股份有限公司,福建,泉州市,16.17亿,5726.43万,4329,2006-12-22,--,,服饰辅料,拉链、跨境电商,拉链业务、跨境电商出口业务。
626,002099,海翔药业,浙江海翔药业股份有限公司,浙江,台州市,20.71亿,2.06亿,2899,2006-12-26,--,,化学原料药,抗生素类、降糖类、心血管类、染料、染颜料中间体,特色原料药、制剂的生产和销售以及为国际制药企业提供定制生产、配套研发的服务;环保型活性染料、染料中间体以及颜料中间体的生产和销售。
627,002100,天康生物,天康生物股份有限公司,新疆,乌鲁木齐市,128.86亿,1.92亿,5669,2006-12-26,--,,饲料,生猪屠宰及肉制品销售、生猪、饲料、兽药、农产品加工、牛奶、代养业务,动物疫苗、饲料及饲用植物蛋白的生产及销售，种猪繁育、生猪养殖、屠宰加工及肉制品销售，融资担保业务。
628,002101,广东鸿图,广东鸿图科技股份有限公司,广东,肇庆市,48.08亿,3.66亿,6715,2006-12-29,--,,汽车零部件,汽车类压铸件、通讯设备类压铸件、机电及其他类压铸件、汽车改装、汽车饰件、股权投资,精密铝合金压铸件业务、汽车内外饰件业务、专用车业务。
629,002102,ST冠福,冠福控股股份有限公司,福建,泉州市,90.54亿,6.76亿,960,2006-12-29,--,,医药中间体,医药中间体、塑料原材料、让售材料、租金物业、融资租赁,医药中间体研发、生产、销售业务兼对维生素E研发、生产、销售业务的投资；塑贸电商业务；投资性房地产租赁经营业务；黄金采矿业务。
630,002103,广博股份,广博集团股份有限公司,浙江,宁波市,15.95亿,2055.65万,2451,2007-01-10,--,,文化用品,包装物、本册、办公用品、互联网广告业务、跨境电商,文具的生产制造与销售、互联网广告营销与服务。
631,002104,恒宝股份,恒宝股份有限公司,江苏,镇江市,7.15亿,7273.11万,1193,2007-01-10,--,,通信终端设备,票证类、制卡类、模块类、网络版会员软件、电子智能支付设备、特种物联网业务,高端智能化产品及数字安全解决方案等服务。
632,002105,信隆健康,深圳信隆健康产业发展股份有限公司,广东,深圳市,14.70亿,2.06亿,2451,2007-01-12,--,,自行车,自行车零配件,自行车零配件、运动健身康复器材生产及销售
633,002106,莱宝高科,深圳莱宝高科技股份有限公司,广东,深圳市,49.51亿,3.57亿,1689,2007-01-12,--,,显示器件,电子元器件,研发和生产平板显示材料及触控器件。
634,002107,沃华医药,山东沃华医药科技股份有限公司,山东,潍坊市,7.53亿,6342.38万,1415,2007-01-24,--,,中药生产,中成药,研发、生产及销售中成药。
635,002108,沧州明珠,沧州明珠塑料股份有限公司,河北,沧州市,20.96亿,2.70亿,2088,2007-01-24,--,,管材,PE管道、BOPA薄膜、锂离子电池隔膜产品,PE燃气、给水管材管件的生产和销售以及BOPA薄膜的生产和销售。
636,002109,兴化股份,陕西兴化化学股份有限公司,陕西,咸阳市,25.55亿,4.78亿,1236,2007-01-26,--,,民爆用品,合成氨(液氨)、甲醇、甲胺、二甲基甲酰胺(DMF),化工产品的生产与销售。
637,002110,三钢闽光,福建三钢闽光股份有限公司,福建,三明市,399.36亿,8406.90万,13635,2007-01-26,--,,普钢,冶金制造,钢铁为主业，辅以配套、延伸等附属产业。
638,002111,威海广泰,威海广泰空港设备股份有限公司,山东,威海市,15.72亿,7755.82万,2226,2007-01-26,--,,其他专用机械,空港设备、消防装备、消防报警,集空港装备、消防装备、军工装备、无人机、移动医疗装备、电力电子装备于一体的智能化高端保障装备制造平台。
639,002112,三变科技,三变科技股份有限公司,浙江,台州市,7.41亿,2213.71万,675,2007-02-08,--,,其他输变电设备,输配电及控制设备,变压器、电机、电抗器、低压成套电器设备、输变电设备的生产、维修、保养和销售。
640,002113,ST天润,湖南天润数字娱乐文化传媒股份有限公司,湖南,岳阳市,1.92亿,-5895.31万,297,2007-02-08,--,,游戏,移动游戏的代理运营和推广、优易付计费及互联网广告精准投放、房屋租赁,移动网络游戏的研发及运营、移动游戏的代理运营和推广、从事运营商计费业务、广告精准投放业务和物业租赁等。
641,002114,罗平锌电,云南罗平锌电股份有限公司,云南,曲靖市,15.14亿,-1.21亿,1820,2007-02-15,--,,铅锌,锌锭、锌合金、电力、铅精矿、锗精矿、银精矿、镉锭、超精细锌粉、硫酸及副产物铅渣、铜精矿,水力发电、铅锌矿的开采、选矿、铅锌金属的冶炼及附属产品的提炼。
642,002115,三维通信,三维通信股份有限公司,浙江,杭州市,74.19亿,9783.79万,1120,2007-02-15,--,,通信配套服务,移动通信网络设备及系统解决方案综合服务业务、卫星通信业务、广告业务、自媒体业务、游戏联运、安全专网融合通信设备及解决方案、5G通信基础设施建设及运营服务,通信业务和互联网广告传媒业务。
643,002116,中国海诚,中国海诚工程科技股份有限公司,上海,上海市,38.00亿,1.75亿,4825,2007-02-15,--,,专业工程,承包、设计、监理、咨询,为国内外工程建设提供设计、咨询、监理和总承包服务。
644,002117,东港股份,东港股份有限公司,山东,济南市,7.42亿,1.20亿,1494,2007-03-02,--,,包装印刷,印刷类业务、覆合类业务、技术服务类业务,"印刷类业务,覆合类业务和技术服务类业务。"
645,002118,紫鑫药业,吉林紫鑫药业股份有限公司,吉林,长春市,5679.49万,-5.61亿,934,2007-03-02,--,,中药生产,中成药产业、人参产业、工业大麻产业,中成药产业、人参产业、工业大麻产业。
646,002119,康强电子,宁波康强电子股份有限公司,浙江,宁波市,13.10亿,9659.38万,1026,2007-03-02,--,,半导体材料,引线框架产品、电极丝产品、模具及备件、冲床产品,各类半导体封装材料引线框架、键合丝等半导体封装材料的开发、生产、销售。
647,002120,韵达股份,韵达控股股份有限公司,浙江,宁波市,352.12亿,7.73亿,11294,2007-03-06,--,,物流,快递业务、物料销售,综合快递物流业务。
648,002121,科陆电子,深圳市科陆电子科技股份有限公司,广东,深圳市,20.95亿,-1.25亿,3217,2007-03-06,--,,电气仪表,智能电网、储能、综合能源管理及服务、物业、金融业务,从事智能电网、新能源及综合能源服务。
649,002122,天马股份,天马轴承集团股份有限公司,浙江,杭州市,5.80亿,-2.99亿,1556,2007-03-28,--,,基础件,高端装备制造业、互联网信息技术服务业、传媒业、其他,高端装备制造、创投服务与资产管理、互联网信息技术服务及传媒业务。
650,002123,梦网科技,梦网云科技集团股份有限公司,辽宁,鞍山市,24.82亿,987.81万,1191,2007-03-28,--,,其他互联网服务,移动信息服务、节能大功率电力电子产品,移动互联网运营支撑业务。
651,002124,天邦食品,天邦食品股份有限公司,浙江,宁波市,68.34亿,10.02亿,11263,2007-04-03,--,,饲料,商品种猪、商品仔猪、商品肉猪、猪肉生鲜产品、猪肉加工产品、猪用疫苗、猪用饲料和水产饲料、生猪养殖技术服务,"食品产业开发(生猪育种养殖和猪肉制品加工),生物制品研制与销售,饲料研制与销售。"
652,002125,湘潭电化,湘潭电化科技股份有限公司,湖南,湘潭市,13.43亿,3.64亿,1068,2007-04-03,--,,其他化学原料,化工材料行业、污水处理行业,电池材料的研发、生产和销售
653,002126,银轮股份,浙江银轮机械股份有限公司,浙江,台州市,60.01亿,2.77亿,7827,2007-04-18,--,,汽车零部件,传统乘用车产品、新能源汽车产品、工程机械产品、发动机后处理产品、商用车产品、工业用\民用产品,油、水、气、冷媒间的热交换器、汽车空调等热管理产品以及后处理排气系统相关产品的研发、生产与销售。
654,002127,南极电商,南极电商股份有限公司,江苏,苏州市,25.77亿,2.51亿,562,2007-04-18,--,,营销服务,现代服务、移动互联网、货品销售,品牌授权服务、电商生态综合服务平台服务、柔性供应链园区服务、专业增值服务及货品销售业务。
655,002128,电投能源,内蒙古电投能源股份有限公司,内蒙古,通辽市,198.68亿,40.86亿,7424,2007-04-18,--,,煤炭开采洗选,煤炭产品、电力产品、铝产品,煤炭和铝、电业务。
656,002129,TCL中环,TCL中环新能源科技股份有限公司,天津,天津市,498.45亿,54.89亿,17390,2007-04-20,--,,半导体材料,新能源光伏硅片、光伏电池及组件、其他硅材料及高效光伏电站,半导体硅片、半导体功率和整流器件、导体光伏单晶硅片、光伏电池及组件的研发、生产和销售。
657,002130,沃尔核材,深圳市沃尔核材股份有限公司,广东,深圳市,38.84亿,4.77亿,6081,2007-04-20,--,,非金属新材料,电子类产品、电力类产品、电线电缆产品,高分子核辐射改性新材料及系列电子、电力新产品和新设备的研发、制造和销售。
658,002131,利欧股份,利欧集团股份有限公司,浙江,台州市,151.51亿,-8325.74万,5192,2007-04-27,--,,其他互联网服务,民用泵(微型小型水泵)、工业泵、园林机械、清洗和植保机械、配件、媒介代理服务、数字营销服务、口罩及相关防护用品,机械制造业务和数字营销业务。
659,002132,恒星科技,河南恒星科技股份有限公司,河南,郑州市,34.46亿,1.27亿,3638,2007-04-27,--,,金属制品,金属制品、多晶硅产品、化工产品,从事镀锌钢丝、镀锌钢绞线、钢帘线、胶管钢丝、预应力钢绞线、金刚线等金属制品和有机硅及其相关产品的生产和销售。
660,002133,广宇集团,广宇集团股份有限公司,浙江,杭州市,52.62亿,2.02亿,411,2007-04-27,--,,房地产开发,房地产、贸易,"房地产投资、房地产开发经营、商品房销售及出租、实业投资、室内外装饰、工程技术咨询、仓储服务,建筑材料的销售。"
661,002134,天津普林,天津普林电路股份有限公司,天津,天津市,4.34亿,1713.17万,796,2007-05-16,--,,印制电路板,印制电路板,"印制电路板(PCB)的研发,生产及销售。"
662,002135,东南网架,浙江东南网架股份有限公司,浙江,杭州市,87.26亿,3.77亿,6287,2007-05-30,--,,钢结构,工程总承包、钢结构分包、化纤,钢结构建筑及围护系统的设计、制造、安装以及装配式钢结构建筑总承包业务及涤纶长丝的生产和销售
663,002136,安纳达,安徽安纳达钛业股份有限公司,安徽,铜陵市,19.89亿,2.69亿,796,2007-05-30,--,,其他化学制品,钛白粉系列产品、磷酸铁系列产品,钛白粉系列产品和磷酸铁系列产品。
664,002137,实益达,深圳市实益达科技股份有限公司,广东,深圳市,5.23亿,1.53亿,851,2007-06-13,--,,互联网营销,智慧智能终端产品、智能硬件制造、智慧营销服务,智能硬件和智慧营销两个业务板块。
665,002138,顺络电子,深圳顺络电子股份有限公司,广东,深圳市,31.81亿,5.06亿,6700,2007-06-13,--,,电子元件,电子元器件,从事研发、设计、生产、销售新型电子元器件；提供技术方案设计和技术转让、咨询服务，销售自产产品。
666,002139,拓邦股份,深圳拓邦股份有限公司,广东,深圳市,65.35亿,4.59亿,8445,2007-06-29,--,,电子零部件,智能控制,智能控制系统解决方案的研发、生产和销售。
667,002140,东华科技,东华工程科技股份有限公司,安徽,合肥市,36.47亿,2.31亿,1353,2007-07-12,--,,专业工程,设计咨询业务、工程总承包业务,为国内外工程项目建设提供咨询、设计、施工、总承包等全过程、全产业链的综合服务。
668,002141,贤丰控股,贤丰控股股份有限公司,广东,深圳市,8.67亿,2.62亿,1036,2007-07-20,--,,电子元件,漆包线、新能源,股权投资、资产管理、企业自有资金对外投资，相关生物疫苗产品研发、生产、销售，以及生产和销售电线电缆产品。
669,002142,宁波银行,宁波银行股份有限公司,浙江,宁波市,447.92亿,172.20亿,24328,2007-07-19,--,,银行,客户贷款及垫款、客户存款、同业拆入,吸收公众存款；发放短期、中期和长期贷款；办理国内结算；办理票据贴现；发行金融债券。
670,002144,宏达高科,宏达高科控股股份有限公司,浙江,嘉兴市,4.39亿,7471.56万,538,2007-08-03,--,,纺织面料,面料织造、印染加工、医疗器械、贸易,纺织面料、医疗器械的研发、生产和销售。
671,002145,中核钛白,中核华原钛白股份有限公司,甘肃,白银市,40.87亿,6.17亿,2821,2007-08-03,--,,其他化学制品,金红石型钛白粉、氧化铁颜料,金红石型钛白粉的研发、生产和销售。
672,002146,荣盛发展,荣盛房地产发展股份有限公司,河北,廊坊市,239.25亿,-28.30亿,21317,2007-08-08,--,,房地产开发,住宅、车库、商铺,房地产开发与销售。
673,002147,新光退,新光圆成股份有限公司,安徽,马鞍山市,7.17亿,-2.26亿,1226,2007-08-08,--,,房地产开发,房地产、机械,"回转支承的生产与经营,地产开发与商业经营。"
674,002148,北纬科技,北京北纬通信科技股份有限公司,北京,北京市,1.79亿,1707.29万,191,2007-08-10,--,,通信配套服务,物联网应用及移动增值业务、手机游戏业务、移动互联网产业园,物联网应用及移动增值、手机游戏、移动互联网产业园。
675,002149,西部材料,西部金属材料股份有限公司,陕西,西安市,21.62亿,1.87亿,1688,2007-08-10,--,,其他金属新材料,稀有金属压延加工,稀有金属材料的研发、生产和销售。
676,002150,通润装备,江苏通润装备科技股份有限公司,江苏,苏州市,12.91亿,1.41亿,1432,2007-08-10,--,,金属制品,金属工具、公司机电钣金、公司输配电控制设备,金属工具箱柜业务、机电钣金、输配电控制设备业务。
677,002151,北斗星通,北京北斗星通导航技术股份有限公司,北京,北京市,24.60亿,5958.56万,4268,2007-08-13,--,,卫星应用,芯片及数据服务、导航产品、陶瓷材料与元器件、汽车智能网联,卫星导航、5G陶瓷元器件和汽车智能网联三个行业领域。
678,002152,广电运通,广州广电运通金融电子股份有限公司,广东,广州市,47.82亿,8.23亿,27622,2007-08-13,--,,专用计算机设备,金融智能设备、城市智能设备、技术服务及其他,为全球客户提供具有竞争力的智能终端、运营服务及大数据解决方案。
679,002153,石基信息,北京中长石基信息技术股份有限公司,北京,北京市,19.18亿,2664.42万,5335,2007-08-13,--,,行业应用软件,酒店信息管理系统业务、餐饮信息管理系统业务、支付系统业务、商业流通管理系统业务、旅游休闲系统业务、第三方硬件配套业务,从事酒店、餐饮、零售、休闲娱乐等大消费行业信息管理系统软件的开发与销售、系统集成、技术支持与服务业务。
680,002154,报喜鸟,报喜鸟控股股份有限公司,浙江,温州市,30.38亿,3.94亿,7825,2007-08-16,--,,男装,报喜鸟系列服装产品,品牌服装的研发、生产和销售
681,002155,湖南黄金,湖南黄金股份有限公司,湖南,长沙市,161.64亿,3.56亿,5087,2007-08-16,--,,黄金,有色金属开采、有色金属冶炼、外购非标金业务、贸易行业,黄金及锑、钨等有色金属矿山的开采、选矿，金锑钨等有色金属的冶炼及加工，黄金、精锑的深加工及有色金属矿产品的进出口业务等。
682,002156,通富微电,通富微电子股份有限公司,江苏,南通市,153.19亿,4.90亿,19168,2007-08-16,--,,集成电路,集成电路封装测试、材料销售、模具费、废品、租赁及服务、其他,集成电路封装测试。
683,002157,正邦科技,江西正邦科技股份有限公司,江西,南昌市,133.76亿,-83.83亿,22088,2007-08-17,--,,饲料,饲料、生猪养殖、兽药,主要从事饲料、生猪、兽药的生产与销售，并为养殖户提供产品、养殖技术服务等综合服务。
684,002158,汉钟精机,上海汉钟精机股份有限公司,上海,上海市,23.36亿,4.75亿,2078,2007-08-17,--,,制冷空调设备,制冷产品、空压产品、真空产品、铸件产品、零件及维修,螺杆式压缩机应用技术的研制开发、生产销售及售后服务。
685,002159,三特索道,武汉三特索道集团股份有限公司,湖北,武汉市,2.24亿,-4615.45万,1237,2007-08-17,--,,景区,旅游资源的综合开发,以风景区客运索道运输服务为主，辅以旅游景区经营、景观房地产开发及景区酒店业务。
686,002160,常铝股份,江苏常铝铝业集团股份有限公司,江苏,苏州市,50.44亿,-8473.28万,2308,2007-08-21,--,,铝,铝箔制品、医疗洁净,工业热传递材料、热传递设备综合解决方案和医疗健康系统洁净技术与污染控制整体解决方案。
687,002161,远望谷,深圳市远望谷信息技术股份有限公司,广东,深圳市,3.01亿,-1.01亿,619,2007-08-21,--,,电子零部件,读写装置、电子标签、软件、备品备件及其他、开发产品,"RFID核心技术,产品与系统解决方案的研发。"
688,002162,悦心健康,上海悦心健康集团股份有限公司,上海,上海市,8.50亿,-8545.15万,920,2007-08-23,--,,陶瓷,瓷砖、负离子健康材料、大健康（康养/医疗）、仓库租赁等,"建材,康养,医疗服务,投资性房地产租赁等。"
689,002163,海南发展,海控南海发展股份有限公司,广东,深圳市,23.62亿,-8868.95万,2682,2007-08-23,--,,玻璃,幕墙工程、幕墙玻璃制品、家电玻璃制品、幕墙门窗制品、特玻材料,主要从事建筑幕墙工程研发、设计、施工，幕墙产品和太阳能超白压延玻璃、电子功能玻璃的生产、销售业务。
690,002164,宁波东力,宁波东力股份有限公司,浙江,宁波市,10.62亿,4.08亿,1760,2007-08-23,--,,基础件,装备制造,专注于齿轮箱、电机及传动装置的研发、生产和服务。
691,002165,红宝丽,红宝丽集团股份有限公司,江苏,南京市,18.92亿,-320.47万,1293,2007-09-13,--,,聚氨酯,基础化工原料、新兴材料,从事环氧丙烷衍生品，包括聚氨酯硬泡组合聚醚、特种聚醚、异丙醇胺系列产品，以及环氧丙烷、聚氨酯保温板的研发、生产和销售。
692,002166,莱茵生物,桂林莱茵生物科技股份有限公司,广西,桂林市,9.79亿,1.84亿,1055,2007-09-13,--,,中药生产,天然甜味剂、工业大麻提取物、茶叶提取物,天然健康产品业务。
693,002167,东方锆业,广东东方锆业科技股份有限公司,广东,汕头市,10.19亿,1.25亿,1115,2007-09-13,--,,稀有金属,锆产品,从事锆系列制品研发、生产和经营。
694,002168,惠程科技,深圳市惠程信息科技股份有限公司,广东,深圳市,1.62亿,-8862.80万,546,2007-09-19,--,,其他电气设备,电气产品、绝缘产品、游戏发行、游戏研发,电气业务和投资业务，大数据精细化营销的流量经营业务和移动游戏的研发、发行及游戏平台的运营等信息科技业务。
695,002169,智光电气,广州智光电气股份有限公司,广东,广州市,15.32亿,2791.20万,1922,2007-09-19,--,,电气自控设备,电力电子产品、电力装备、节能服务、用电服务,电力电子技术研究和产品应用、综合能源服务整体解决方案、能源技术及服务领域产业投资。
696,002170,芭田股份,深圳市芭田生态工程股份有限公司,广东,深圳市,21.03亿,8321.18万,2470,2007-09-19,--,,复合肥,化学肥料制造,植物营养链和健康农业用肥的研发、服务及运营。
697,002171,楚江新材,安徽楚江科技新材料股份有限公司,安徽,芜湖市,298.20亿,1.30亿,6905,2007-09-21,--,,铜,金属材料研发及制造、高端装备制造及新材料、碳纤维复合材料、运输物流,铜基材料、钢基材料、新材料、高端热工装备的研制、生产和销售。
